message_key,message_text,locale,deleted,version
msg.list.button.lead.edit, Edit,en_US,FALSE,0
msg.list.button.lead.delete, Delete,en_US,FALSE,0
msg.list.lead.firstName, First Name,en_US,FALSE,0
msg.list.lead.lastName, Last Name,en_US,FALSE,0
msg.list.lead.company, Company,en_US,FALSE,0
msg.list.lead.delete, Delete,en_US,FALSE,0

msg.form.button.activity.save,Save,en_US,FALSE,0
msg.form.button.activity.back,Back,en_US,FALSE,0
msg.form.button.activity.new,New,en_US,FALSE,0
msg.form.button.activity.edit,Edit,en_US,FALSE,0
msg.form.button.activity.copy,Copy,en_US,FALSE,0
msg.form.button.activity.delete,Delete,en_US,FALSE,0

msg.form.activity.subject,Subject,en_US,FALSE,0
msg.form.activity.start_date,Start Date,en_US,FALSE,0
msg.form.activity.due_date,Due Date,en_US,FALSE,0
msg.form.activity.location,Location,en_US,FALSE,0
msg.form.activity.activity_type,Activity Type,en_US,FALSE,0
msg.form.activity.status,Status,en_US,FALSE,0
msg.form.activity.priority,Priority,en_US,FALSE,0
msg.form.activity.send_notification,Send Notification,en_US,FALSE,0


msg.form.activity.description,Description,en_US,FALSE,0
msg.form.activity.menu,Activity,en_US,FALSE,0
msg.form.activity.menu.list_all,List All,en_US,FALSE,0
msg.form.activity.menu.new,New,en_US,FALSE,0
msg.form.activity.activities,Activities,en_US,FALSE,0

msg.form.activity.list.new,New,en_US,FALSE,0
msg.form.activity.list.edit,Edit,en_US,FALSE,0
msg.form.activity.list.delete,Delete,en_US,FALSE,0
msg.form.activity.list.subject,Subject,en_US,FALSE,0
msg.form.activity.list.startDateTime,startDateTime,en_US,FALSE,0
msg.form.activity.list.dueDateTime,dueDateTime,en_US,FALSE,0


msg.form.activity.new,New Activity,en_US,FALSE,0
msg.form.activity.detail,Activity Details,en_US,FALSE,0
msg.form.activity.edit,Activity Edit,en_US,FALSE,0

msg.form.document.new,New,en_US,FALSE,0
msg.form.document.edit,Edit,en_US,FALSE,0
msg.form.document.delete,Delete,en_US,FALSE,0
msg.form.document.name,Name,en_US,FALSE,0
msg.form.document.file_name,File Name,en_US,FALSE,0
msg.form.document.mime,Mime,en_US,FALSE,0
msg.form.document.size,Size,en_US,FALSE,0

